name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
"Croutons, seasoned",100 g,10.80 g,63.50 g,4.41 g,5.0 g,3.60 g,465,18g
"Snacks, taro chips",100 g,2.30 g,68.10 g,3.82 g,7.2 g,2.00 g,498,25g
"Prickly pears, raw",100 g,0.73 g,9.57 g,0,3.6 g,87.55 g,41,0.5g
"Fish, raw, haddock",100 g,16.32 g,0.00 g,0.00 g,0.0 g,83.38 g,74,0.5g
"Liver cheese, pork",100 g,15.20 g,2.10 g,0,0.0 g,53.60 g,304,26g
"Ground turkey, raw",100 g,19.66 g,0.00 g,0.00 g,0.0 g,72.36 g,148,7.7g
Jams and preserves,100 g,0.37 g,68.86 g,48.50 g,1.1 g,30.47 g,278,0.1g
"Carrots, raw, baby",100 g,0.64 g,8.24 g,4.76 g,2.9 g,90.35 g,35,0.1g
"Oil, nutmeg butter",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Semolina, enriched",100 g,12.68 g,72.83 g,0,3.9 g,12.67 g,360,1.1g
"Spices, anise seed",100 g,17.60 g,50.02 g,0,14.6 g,9.54 g,337,16g
"Snacks, corn cakes",100 g,8.10 g,83.40 g,23.47 g,1.9 g,4.60 g,387,2.4g
"Catsup, low sodium",100 g,1.04 g,27.40 g,21.27 g,0.3 g,68.51 g,101,0.1g
"Croissants, cheese",100 g,9.20 g,47.00 g,11.35 g,2.6 g,21.00 g,414,21g
"Milk, fluid, sheep",100 g,5.98 g,5.36 g,0,0.0 g,80.70 g,108,7g
"Acerola juice, raw",100 g,0.40 g,4.80 g,4.50 g,0.3 g,94.30 g,23,0.3g
"Jute, raw, potherb",100 g,4.65 g,5.80 g,0,0,87.72 g,34,0.3g
"Fast food, biscuit",100 g,7.08 g,42.82 g,3.88 g,2.5 g,27.88 g,370,19g
"Bagels, multigrain",100 g,9.90 g,47.47 g,8.66 g,6.2 g,39.40 g,241,1.2g
"Beef, dried, cured",100 g,31.10 g,2.76 g,2.70 g,0.0 g,53.80 g,153,1.9g
"Nuts, almond paste",100 g,9.00 g,47.81 g,36.25 g,4.8 g,14.08 g,458,28g
"Seaweed, raw, kelp",100 g,1.68 g,9.57 g,0.60 g,1.3 g,81.58 g,43,0.6g
"Seaweed, raw, agar",100 g,0.54 g,6.75 g,0.28 g,0.5 g,91.32 g,26,0g
"Fish oil, menhaden",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,902,100g
"Rolls, egg, dinner",100 g,9.50 g,52.00 g,4.30 g,3.7 g,30.40 g,307,6.4g
"Bread, white wheat",100 g,10.66 g,43.91 g,5.00 g,9.2 g,39.60 g,238,2.2g
"Onions, raw, sweet",100 g,0.80 g,7.55 g,5.02 g,0.9 g,91.24 g,32,0.1g
"Onions, raw, welsh",100 g,1.90 g,6.50 g,2.18 g,2.4 g,90.50 g,34,0.4g
"SILK Chai, soymilk",100 g,2.47 g,7.82 g,5.76 g,0.0 g,87.62 g,53,1.4g
"Rolls, rye, dinner",100 g,10.30 g,53.10 g,1.17 g,4.9 g,30.10 g,286,3.4g
"Gravy, dry, au jus",100 g,9.20 g,47.49 g,0,0,2.74 g,313,9.6g
"Cheese, neufchatel",100 g,9.15 g,3.59 g,3.19 g,0.0 g,63.11 g,253,23g
"Hummus, commercial",100 g,7.90 g,14.29 g,0,6.0 g,66.59 g,166,9.6g
"Croissants, butter",100 g,8.20 g,45.80 g,11.26 g,2.6 g,23.20 g,406,21g
"Carrot, dehydrated",100 g,8.10 g,79.57 g,38.82 g,23.6 g,4.00 g,341,1.5g
"Vinegar, distilled",100 g,0.00 g,0.04 g,0.04 g,0.0 g,94.78 g,18,0g
"Sapote, raw, mamey",100 g,1.45 g,32.10 g,20.14 g,5.4 g,64.87 g,124,0.5g
"Soy flour, low-fat",100 g,49.81 g,30.63 g,9.33 g,16.0 g,4.61 g,372,8.9g
"Syrups, sugar free",100 g,0.80 g,12.13 g,0.01 g,0.7 g,87.00 g,52,0g
"Syrups, dark, corn",100 g,0.00 g,77.59 g,77.59 g,0.0 g,22.01 g,286,0g
"Taco shells, baked",100 g,6.41 g,63.49 g,1.50 g,6.7 g,6.40 g,476,22g
"Spices, cumin seed",100 g,17.81 g,44.24 g,2.25 g,10.5 g,8.06 g,375,22g
"Bamboo shoots, raw",100 g,2.60 g,5.20 g,3.00 g,2.2 g,91.00 g,27,0.3g
"Fish, raw, lingcod",100 g,17.66 g,0.00 g,0,0.0 g,81.03 g,85,1.1g
"Whey, dried, sweet",100 g,12.93 g,74.46 g,74.46 g,0.0 g,3.19 g,353,1.1g
"Whey, fluid, sweet",100 g,0.85 g,5.14 g,5.14 g,0.0 g,93.12 g,27,0.4g
"Spices, poppy seed",100 g,17.99 g,28.13 g,2.99 g,19.5 g,5.95 g,525,42g
"Babyfood, pretzels",100 g,10.80 g,82.20 g,3.08 g,2.3 g,4.00 g,397,2g
"Fat, mutton tallow",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,902,100g
"Coffeecake, cheese",100 g,7.00 g,44.30 g,0,1.0 g,32.20 g,339,15g
"Sauce, horseradish",100 g,1.09 g,10.05 g,8.98 g,1.0 g,35.83 g,503,51g
"Yardlong bean, raw",100 g,2.80 g,8.35 g,0,0,87.85 g,47,0.4g
"Cress, raw, garden",100 g,2.60 g,5.50 g,4.40 g,1.1 g,89.40 g,32,0.7g
"Dates, deglet noor",100 g,2.45 g,75.03 g,63.35 g,8.0 g,20.53 g,282,0.4g
"Lambsquarters, raw",100 g,4.20 g,7.30 g,0,4.0 g,84.30 g,43,0.8g
"Gravy, dry, turkey",100 g,10.42 g,65.12 g,0,0,4.67 g,367,7.2g
Vital wheat gluten,100 g,75.16 g,13.79 g,0.00 g,0.6 g,8.20 g,370,1.9g
"Turnip greens, raw",100 g,1.50 g,7.13 g,0.81 g,3.2 g,89.67 g,32,0.3g
"Sugars, granulated",100 g,0.00 g,99.98 g,99.80 g,0.0 g,0.02 g,387,0g
"Frankfurter, pork",100 g,12.81 g,0.28 g,0.00 g,0.1 g,59.85 g,269,24g
"Pomegranates, raw",100 g,1.67 g,18.70 g,13.67 g,4.0 g,77.93 g,83,1.2g
"Pears, raw, asian",100 g,0.50 g,10.65 g,7.05 g,3.6 g,88.25 g,42,0.2g
"Cookies, molasses",100 g,5.60 g,73.80 g,17.60 g,1.0 g,5.80 g,430,13g
"Cookies, fig bars",100 g,3.70 g,70.90 g,46.36 g,4.6 g,16.50 g,348,7.3g
Liverwurst spread,100 g,12.38 g,5.89 g,1.65 g,2.5 g,53.53 g,305,25g
Roast beef spread,100 g,15.27 g,3.73 g,0.71 g,0.2 g,61.70 g,223,16g
"Chard, raw, swiss",100 g,1.80 g,3.74 g,1.10 g,1.6 g,92.66 g,19,0.2g
"Goose, raw, liver",100 g,16.37 g,6.32 g,0,0.0 g,71.78 g,133,4.3g
"TACO BELL, Nachos",100 g,4.32 g,34.91 g,2.17 g,3.2 g,37.40 g,350,22g
"Sausage, meatless",100 g,20.28 g,8.09 g,0.00 g,2.8 g,50.40 g,255,18g
"Frankfurter, meat",100 g,10.26 g,4.17 g,0,0.0 g,56.31 g,290,26g
"Rice flour, brown",100 g,7.23 g,76.48 g,0.66 g,4.6 g,11.97 g,363,2.8g
"Peppermint, fresh",100 g,3.75 g,14.89 g,0,8.0 g,78.65 g,70,0.9g
"Vinegar, red wine",100 g,0.04 g,0.27 g,0.00 g,0.0 g,94.47 g,19,0g
"Vinegar, balsamic",100 g,0.49 g,17.03 g,14.95 g,0,76.45 g,88,0g
"Luxury loaf, pork",100 g,18.40 g,4.90 g,0,0.0 g,68.20 g,141,4.8g
"Rye flour, medium",100 g,10.88 g,75.43 g,1.10 g,11.8 g,10.97 g,349,1.5g
"DENNY'S, coleslaw",100 g,0.97 g,10.88 g,8.16 g,1.3 g,71.77 g,183,15g
"Bread, wheat bran",100 g,8.80 g,47.80 g,9.68 g,4.0 g,37.80 g,248,3.4g
"Croissants, apple",100 g,7.40 g,37.10 g,0,2.5 g,45.60 g,254,8.7g
"Candies, Tamarind",100 g,0.00 g,91.96 g,78.57 g,2.5 g,2.52 g,368,0g
"Oheloberries, raw",100 g,0.38 g,6.84 g,0,0,92.30 g,28,0.2g
"PACE, Salsa Verde",100 g,0.00 g,6.25 g,6.25 g,0.0 g,88.10 g,47,1.6g
Barley malt flour,100 g,10.28 g,78.30 g,0.80 g,7.1 g,8.21 g,361,1.8g
"Rice noodles, dry",100 g,5.95 g,80.18 g,0.12 g,1.6 g,11.91 g,364,0.6g
"Fish oil, sardine",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,902,100g
"Fish oil, herring",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,902,100g
"Plantains, cooked",100 g,0.79 g,31.15 g,14.00 g,2.3 g,67.30 g,116,0.2g
"Burdock root, raw",100 g,1.53 g,17.34 g,2.90 g,3.3 g,80.09 g,72,0.2g
"Butterbur, canned",100 g,0.11 g,0.38 g,0,0,97.92 g,3,0.1g
"Ostrich, raw, fan",100 g,21.81 g,0.00 g,0.00 g,0.0 g,75.93 g,117,2.7g
"SILK Nog, soymilk",100 g,2.46 g,12.30 g,9.84 g,0.0 g,82.96 g,74,1.6g
"Gravy, dry, brown",100 g,10.74 g,59.38 g,0,2.0 g,5.00 g,367,9.6g
"Cheese, provolone",100 g,25.58 g,2.14 g,0.56 g,0.0 g,40.95 g,351,27g
"Cheese, roquefort",100 g,21.54 g,2.00 g,0,0.0 g,39.38 g,369,31g
"Muffins, oat bran",100 g,7.00 g,48.30 g,8.22 g,4.6 g,35.00 g,270,7.4g
"Syrups, grenadine",100 g,0.00 g,66.91 g,46.55 g,0.0 g,32.40 g,268,0g
"Raisins, seedless",100 g,3.07 g,79.18 g,59.19 g,3.7 g,15.43 g,299,0.5g
"Strawberries, raw",100 g,0.67 g,7.68 g,4.89 g,2.0 g,90.95 g,32,0.3g
"Fish, raw, burbot",100 g,19.31 g,0.00 g,0,0.0 g,79.26 g,90,0.8g
"Wheat germ, crude",100 g,23.15 g,51.80 g,0,13.2 g,11.12 g,360,9.7g
"Wheat, hard white",100 g,11.31 g,75.90 g,0.41 g,12.2 g,9.57 g,342,1.7g
"Wheat bran, crude",100 g,15.55 g,64.51 g,0.41 g,42.8 g,9.89 g,216,4.3g
"Gooseberries, raw",100 g,0.88 g,10.18 g,0,4.3 g,87.87 g,44,0.6g
"Spices, dill seed",100 g,15.98 g,55.17 g,0,21.1 g,7.70 g,305,15g
"Oil, cocoa butter",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"APPLEBEE'S, chili",100 g,12.56 g,4.57 g,2.27 g,1.4 g,71.31 g,157,9.8g
"Grape leaves, raw",100 g,5.60 g,17.31 g,6.30 g,11.0 g,73.32 g,93,2.1g
"Kale, raw, scotch",100 g,2.80 g,8.32 g,0,1.7 g,87.00 g,42,0.6g
"Marmalade, orange",100 g,0.30 g,66.30 g,60.00 g,0.7 g,33.20 g,246,0g
"Whey, dried, acid",100 g,11.73 g,73.45 g,73.45 g,0.0 g,3.51 g,339,0.5g
"Whey, fluid, acid",100 g,0.76 g,5.12 g,5.12 g,0.0 g,93.42 g,24,0.1g
"Eggplant, pickled",100 g,0.90 g,9.77 g,4.80 g,2.5 g,86.90 g,49,0.7g
"Babyfood, cookies",100 g,11.80 g,67.10 g,24.20 g,0.2 g,5.90 g,433,13g
"Fennel, raw, bulb",100 g,1.24 g,7.30 g,3.93 g,3.1 g,90.21 g,31,0.2g
"Egg, dried, whole",100 g,48.05 g,1.13 g,0.56 g,0.0 g,2.78 g,592,44g
"Coffeecake, fruit",100 g,5.20 g,51.50 g,0,2.5 g,31.70 g,311,10g
"Candies, caramels",100 g,4.60 g,77.00 g,65.50 g,0.0 g,8.50 g,382,8.1g
"Sour cream, light",100 g,3.50 g,7.10 g,0.22 g,0.0 g,78.10 g,136,11g
"Egg, dried, white",100 g,81.10 g,7.80 g,5.40 g,0.0 g,5.80 g,382,0g
"Wild rice, cooked",100 g,3.99 g,21.34 g,0.73 g,1.8 g,73.93 g,101,0.3g
"Chicken, meatless",100 g,23.64 g,3.64 g,0.00 g,3.6 g,58.84 g,224,13g
"Corn grain, white",100 g,9.42 g,74.26 g,0,0,10.37 g,365,4.7g
"Veal, raw, ground",100 g,18.58 g,0.00 g,0.00 g,0.0 g,66.16 g,197,13g
"Wheat, soft white",100 g,10.69 g,75.36 g,0.41 g,12.7 g,10.42 g,340,2g
"Elderberries, raw",100 g,0.66 g,18.40 g,0,7.0 g,79.80 g,73,0.5g
"Nuts, raw, acorns",100 g,6.15 g,40.75 g,0,0,27.90 g,387,24g
"Orange juice, raw",100 g,0.70 g,10.40 g,8.40 g,0.2 g,88.30 g,45,0.2g
"POPEYES, Coleslaw",100 g,0.98 g,14.12 g,10.83 g,1.7 g,72.84 g,161,11g
"Cabbage, raw, red",100 g,1.43 g,7.37 g,3.83 g,2.1 g,90.39 g,31,0.2g
"Blackberries, raw",100 g,1.39 g,9.61 g,4.88 g,5.3 g,88.15 g,43,0.5g
"Wasabi, raw, root",100 g,4.80 g,23.54 g,0,7.8 g,69.11 g,109,0.6g
"Cheese, limburger",100 g,20.05 g,0.49 g,0.49 g,0.0 g,48.42 g,327,27g
"Raspberries, raw",100 g,1.20 g,11.94 g,4.42 g,6.5 g,85.75 g,52,0.7g
"Corn bran, crude",100 g,8.36 g,85.64 g,0.00 g,79.0 g,4.71 g,224,0.9g
"Bread, rice bran",100 g,8.90 g,43.50 g,4.67 g,4.9 g,41.00 g,243,4.6g
"Taro shoots, raw",100 g,0.92 g,2.32 g,0,0,95.82 g,11,0.1g
"Sugars, powdered",100 g,0.00 g,99.77 g,97.81 g,0.0 g,0.23 g,389,0g
"Emu, raw, ground",100 g,22.77 g,0.00 g,0.00 g,0.0 g,72.87 g,134,4g
"Cookies, fortune",100 g,4.20 g,84.00 g,45.42 g,1.6 g,8.00 g,378,2.7g
"Fish, raw, cisco",100 g,18.99 g,0.00 g,0,0.0 g,78.93 g,98,1.9g
"Couscous, cooked",100 g,3.79 g,23.22 g,0.10 g,1.4 g,72.57 g,112,0.2g
"Dill weed, fresh",100 g,3.46 g,7.02 g,0,2.1 g,85.95 g,43,1.1g
"Spearmint, dried",100 g,19.93 g,52.04 g,0,29.8 g,11.30 g,285,6g
"Spearmint, fresh",100 g,3.29 g,8.41 g,0,6.8 g,85.55 g,44,0.7g
Tamales (Navajo),100 g,6.28 g,18.12 g,0.99 g,3.1 g,68.10 g,153,6.1g
"Rice bran, crude",100 g,13.35 g,49.69 g,0.90 g,21.0 g,6.13 g,316,21g
"Rye flour, light",100 g,9.82 g,76.68 g,0.93 g,8.0 g,11.40 g,357,1.3g
"Spices, bay leaf",100 g,7.61 g,74.97 g,0,26.3 g,5.44 g,313,8.4g
"Spices, cardamom",100 g,10.76 g,68.47 g,0,28.0 g,8.28 g,311,6.7g
"Lemon juice, raw",100 g,0.35 g,6.90 g,2.52 g,0.3 g,92.31 g,22,0.2g
"Ginger root, raw",100 g,1.82 g,17.77 g,1.70 g,2.0 g,78.89 g,80,0.8g
"Fish oil, salmon",100 g,0.00 g,0.00 g,0,0.0 g,0.00 g,902,100g
"Fish, tuna salad",100 g,16.04 g,9.41 g,0,0.0 g,63.16 g,187,9.3g
"Orange peel, raw",100 g,1.50 g,25.00 g,0,10.6 g,72.50 g,97,0.2g
"Blueberries, raw",100 g,0.74 g,14.49 g,9.96 g,2.4 g,84.21 g,57,0.3g
"Cheese, muenster",100 g,23.41 g,1.12 g,1.12 g,0.0 g,41.77 g,368,30g
"Beet greens, raw",100 g,2.20 g,4.33 g,0.50 g,3.7 g,91.02 g,22,0.1g
"Cheese, cheshire",100 g,23.37 g,4.78 g,0,0.0 g,37.65 g,387,31g
"Bagels, oat bran",100 g,10.70 g,53.30 g,1.63 g,3.6 g,32.90 g,255,1.2g
"Fat, beef tallow",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,902,100g
"Clementines, raw",100 g,0.85 g,12.02 g,9.18 g,1.7 g,86.58 g,47,0.2g
"Peas, raw, green",100 g,5.42 g,14.45 g,5.67 g,5.7 g,78.86 g,81,0.4g
"Oat bran, cooked",100 g,3.21 g,11.44 g,0,2.6 g,84.00 g,40,0.9g
"Pears, bosc, raw",100 g,0.36 g,16.10 g,10.23 g,3.1 g,83.18 g,67,0.1g
"Sugar, turbinado",100 g,0.00 g,99.80 g,99.19 g,0,0.03 g,399,0g
"Headcheese, pork",100 g,13.83 g,0.00 g,0.00 g,0.0 g,73.84 g,157,11g
Ham salad spread,100 g,8.68 g,10.64 g,0.00 g,0.0 g,62.60 g,216,16g
"Olive loaf, pork",100 g,11.80 g,9.20 g,0.00 g,0.0 g,58.20 g,235,17g
"Pastrami, turkey",100 g,16.30 g,3.34 g,3.34 g,0.1 g,71.73 g,139,6.2g
"Cranberries, raw",100 g,0.46 g,11.97 g,4.27 g,3.6 g,87.32 g,46,0.1g
"POPEYES, biscuit",100 g,6.00 g,40.95 g,3.46 g,3.8 g,26.52 g,401,24g
"Egg, dried, yolk",100 g,33.63 g,0.66 g,0.23 g,0.0 g,3.08 g,669,59g
"Quinoa, uncooked",100 g,14.12 g,64.16 g,0,7.0 g,13.28 g,368,6.1g
"Emu, raw, oyster",100 g,22.81 g,0.00 g,0.00 g,0.0 g,72.57 g,141,4.9g
"Rose-apples, raw",100 g,0.60 g,5.70 g,0,0,93.00 g,25,0.3g
"Cheese, monterey",100 g,24.48 g,0.68 g,0.50 g,0.0 g,41.01 g,373,30g
"Fish, raw, scup",100 g,18.88 g,0.00 g,0.00 g,0.0 g,75.37 g,105,2.7g
"Cheese, cheddar",100 g,22.87 g,3.09 g,0.48 g,0.0 g,37.02 g,404,33g
"Cheese, caraway",100 g,25.18 g,3.06 g,0,0.0 g,39.28 g,376,29g
"Oil, wheat germ",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Bread, oat bran",100 g,10.40 g,39.80 g,7.70 g,4.5 g,44.00 g,236,4.4g
"Watermelon, raw",100 g,0.61 g,7.55 g,6.20 g,0.4 g,91.45 g,30,0.2g
Potato pancakes,100 g,6.08 g,27.81 g,1.79 g,3.3 g,47.77 g,268,15g
Spinach souffle,100 g,7.89 g,5.90 g,1.85 g,0.7 g,70.73 g,172,13g
"Bacon, meatless",100 g,11.69 g,5.31 g,0.00 g,2.6 g,48.98 g,309,30g
"Rosemary, fresh",100 g,3.31 g,20.70 g,0,14.1 g,67.77 g,131,5.9g
"Syrups, sorghum",100 g,0.00 g,74.90 g,74.90 g,0.0 g,22.70 g,290,0g
"Rye flour, dark",100 g,15.91 g,68.63 g,2.31 g,23.8 g,10.75 g,325,2.2g
"Oil, tomatoseed",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Croutons, plain",100 g,11.90 g,73.50 g,0,5.1 g,5.50 g,407,6.6g
"Lemon peel, raw",100 g,1.50 g,16.00 g,4.17 g,10.6 g,81.60 g,47,0.3g
"Spices, paprika",100 g,14.14 g,53.99 g,10.34 g,34.9 g,11.24 g,282,13g
"Nectarines, raw",100 g,1.06 g,10.55 g,7.89 g,1.7 g,87.59 g,44,0.3g
"Mulberries, raw",100 g,1.44 g,9.80 g,8.10 g,1.7 g,87.68 g,43,0.4g
"Lotus root, raw",100 g,2.60 g,17.23 g,0,4.9 g,79.10 g,74,0.1g
"Sauce, barbecue",100 g,0.82 g,40.77 g,33.24 g,0.9 g,54.71 g,172,0.6g
"Fish, raw, spot",100 g,18.51 g,0.00 g,0,0.0 g,75.95 g,123,4.9g
"Crabapples, raw",100 g,0.40 g,19.95 g,0,0,78.94 g,76,0.3g
"Breadfruit, raw",100 g,1.07 g,27.12 g,11.00 g,4.9 g,70.65 g,103,0.2g
Arrowroot flour,100 g,0.30 g,88.15 g,0,3.4 g,11.37 g,357,0.1g
"Pimento, canned",100 g,1.10 g,5.10 g,2.71 g,1.9 g,93.10 g,23,0.3g
"Tomatillos, raw",100 g,0.96 g,5.84 g,3.93 g,1.9 g,91.63 g,32,1g
"Raisins, seeded",100 g,2.52 g,78.47 g,0,6.8 g,16.57 g,296,0.5g
"Bologna, turkey",100 g,11.42 g,4.68 g,2.90 g,0.5 g,64.55 g,209,16g
Vanilla extract,100 g,0.06 g,12.65 g,12.65 g,0.0 g,52.58 g,288,0.1g
"Fish, raw, carp",100 g,17.83 g,0.00 g,0.00 g,0.0 g,76.31 g,127,5.6g
"Wheat, sprouted",100 g,7.49 g,42.53 g,0,1.1 g,47.75 g,198,1.3g
"Fish, raw, cusk",100 g,18.99 g,0.00 g,0,0.0 g,76.35 g,87,0.7g
"Watercress, raw",100 g,2.30 g,1.29 g,0.20 g,0.5 g,95.11 g,11,0.1g
"Fish, raw, ling",100 g,18.99 g,0.00 g,0,0.0 g,79.63 g,87,0.6g
"Bread, cinnamon",100 g,7.05 g,44.38 g,14.11 g,3.5 g,41.93 g,253,5.3g
"Spices, saffron",100 g,11.43 g,65.37 g,0,3.9 g,11.90 g,310,5.9g
"Lime juice, raw",100 g,0.42 g,8.42 g,1.69 g,0.4 g,90.79 g,25,0.1g
"Spelt, uncooked",100 g,14.57 g,70.19 g,6.82 g,10.7 g,11.02 g,338,2.4g
"Cabbage, kimchi",100 g,1.10 g,2.40 g,1.06 g,1.6 g,94.30 g,15,0.5g
"Seeds, flaxseed",100 g,18.29 g,28.88 g,1.55 g,27.3 g,6.96 g,534,42g
"Cheese, gruyere",100 g,29.81 g,0.36 g,0.36 g,0.0 g,33.19 g,413,32g
"Cheese, gjetost",100 g,9.65 g,42.65 g,0,0.0 g,13.44 g,466,30g
"Cheese, fontina",100 g,25.60 g,1.55 g,1.55 g,0.0 g,37.92 g,389,31g
"Butter, salted",100 g,0.85 g,0.06 g,0.06 g,0.0 g,15.87 g,717,81g
"Oil, rice bran",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Crackers, milk",100 g,7.60 g,71.73 g,10.32 g,3.4 g,4.70 g,446,14g
"Dates, medjool",100 g,1.81 g,74.97 g,66.47 g,6.7 g,21.32 g,277,0.2g
"Arrowroot, raw",100 g,4.24 g,13.39 g,0,1.3 g,80.75 g,65,0.2g
"Bread, oatmeal",100 g,8.40 g,48.50 g,8.14 g,4.0 g,36.70 g,269,4.4g
"Bread, italian",100 g,8.80 g,50.10 g,3.17 g,3.2 g,35.70 g,271,3.5g
"Tamarinds, raw",100 g,2.80 g,62.50 g,38.80 g,5.1 g,31.40 g,239,0.6g
"Millet, puffed",100 g,13.00 g,80.00 g,0.55 g,2.7 g,2.50 g,354,3.4g
"Vinegar, cider",100 g,0.00 g,0.93 g,0.40 g,0.0 g,93.81 g,21,0g
"Scrapple, pork",100 g,8.06 g,14.06 g,0.20 g,0.3 g,62.47 g,213,14g
"Oil, poppyseed",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Oil, grapeseed",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Longans, dried",100 g,4.90 g,74.00 g,0,0,17.60 g,286,0.4g
"Pectin, liquid",100 g,0.00 g,2.10 g,0.00 g,2.1 g,96.90 g,11,0g
"Pretzels, soft",100 g,8.20 g,69.39 g,0.25 g,1.7 g,15.00 g,338,3.1g
"Quinoa, cooked",100 g,4.40 g,21.30 g,0.87 g,2.8 g,71.61 g,120,1.9g
"Plantains, raw",100 g,1.30 g,31.89 g,15.00 g,2.3 g,65.28 g,122,0.4g
"Parsley, fresh",100 g,2.97 g,6.33 g,0.85 g,3.3 g,87.71 g,36,0.8g
"Barley, hulled",100 g,12.48 g,73.48 g,0.80 g,17.3 g,9.44 g,354,2.3g
"Cheese, romano",100 g,31.80 g,3.63 g,0.73 g,0.0 g,30.91 g,387,27g
Dulce de Leche,100 g,6.84 g,55.35 g,49.74 g,0.0 g,28.71 g,315,7.4g
"Radicchio, raw",100 g,1.43 g,4.48 g,0.60 g,0.9 g,93.14 g,23,0.3g
"Bulgur, cooked",100 g,3.08 g,18.58 g,0.10 g,4.5 g,77.76 g,83,0.2g
"Tempeh, cooked",100 g,19.91 g,7.62 g,0,0,59.56 g,195,11g
Chicken spread,100 g,18.01 g,4.05 g,0.47 g,0.3 g,57.41 g,158,18g
"Millet, cooked",100 g,3.51 g,23.67 g,0.13 g,1.3 g,71.41 g,119,1g
"Capers, canned",100 g,2.36 g,4.89 g,0.41 g,3.2 g,83.85 g,23,0.9g
"Sapodilla, raw",100 g,0.44 g,19.96 g,0,5.3 g,78.00 g,83,1.1g
"Wild rice, raw",100 g,14.73 g,74.90 g,2.50 g,6.2 g,7.76 g,357,1.1g
"Arrowhead, raw",100 g,5.33 g,20.23 g,0,0,72.48 g,99,0.3g
"Frog legs, raw",100 g,16.40 g,0.00 g,0.00 g,0.0 g,81.90 g,73,0.3g
"Jackfruit, raw",100 g,1.72 g,23.25 g,19.08 g,1.5 g,73.46 g,95,0.6g
"Litchis, dried",100 g,3.80 g,70.70 g,66.10 g,4.6 g,22.30 g,277,1.2g
"Rutabagas, raw",100 g,1.08 g,8.62 g,4.46 g,2.3 g,89.43 g,37,0.2g
"Cornsalad, raw",100 g,2.00 g,3.60 g,0,0,92.80 g,21,0.4g
"Strudel, apple",100 g,3.30 g,41.10 g,25.75 g,2.2 g,43.50 g,274,11g
"Oil, cupu assu",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Cherimoya, raw",100 g,1.57 g,17.71 g,12.87 g,3.0 g,79.39 g,75,0.7g
"Cheese, tilsit",100 g,24.41 g,1.88 g,0,0.0 g,42.86 g,340,26g
"Asparagus, raw",100 g,2.20 g,3.88 g,1.88 g,2.1 g,93.22 g,20,0.1g
"Apricots, raw",100 g,1.40 g,11.12 g,9.24 g,2.0 g,86.35 g,48,0.4g
"Broccoli, raw",100 g,2.82 g,6.64 g,1.70 g,2.6 g,89.30 g,34,0.4g
"Cheese, brick",100 g,23.24 g,2.79 g,0.51 g,0.0 g,41.11 g,371,30g
"Sugars, brown",100 g,0.12 g,98.09 g,97.02 g,0.0 g,1.34 g,380,0g
Candied fruit,100 g,0.34 g,82.74 g,80.68 g,1.6 g,16.70 g,322,0.1g
"Bologna, beef",100 g,10.91 g,4.29 g,2.05 g,0.0 g,55.31 g,299,26g
Blood sausage,100 g,14.60 g,1.29 g,1.29 g,0.0 g,47.30 g,379,35g
"Nuts, almonds",100 g,21.15 g,21.55 g,4.35 g,12.5 g,4.41 g,579,50g
"Shallots, raw",100 g,2.50 g,16.80 g,7.87 g,3.2 g,79.80 g,72,0.1g
"Couscous, dry",100 g,12.76 g,77.43 g,0,5.0 g,8.56 g,376,0.6g
"Candies, hard",100 g,0.00 g,98.00 g,62.90 g,0.0 g,1.30 g,394,0.2g
Meat extender,100 g,41.71 g,34.71 g,0,17.5 g,7.48 g,311,3g
"Syrups, maple",100 g,0.04 g,67.04 g,60.46 g,0.0 g,32.39 g,260,0.1g
Sorghum grain,100 g,10.62 g,72.09 g,2.53 g,6.7 g,12.40 g,329,3.5g
"Oil, hazelnut",100 g,0.00 g,0.00 g,0.00 g,0.0 g,0.00 g,884,100g
"Pepeao, dried",100 g,4.82 g,81.03 g,0,0,11.14 g,298,0.4g
"Purslane, raw",100 g,2.03 g,3.39 g,0,0,92.86 g,20,0.4g
"Radishes, raw",100 g,0.68 g,3.40 g,1.86 g,1.6 g,95.27 g,16,0.1g
"Rolls, french",100 g,8.60 g,50.20 g,0.31 g,3.2 g,34.80 g,277,4.3g
"Bagels, wheat",100 g,10.20 g,48.89 g,6.12 g,4.1 g,37.55 g,250,1.5g
